consonant,ɑ,ā,ə,i,e,ai,əi
b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,2.0,0.0,0.0,0.0,0.0,0.0,0.0
t̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʈ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d͡ʒ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t͡ʃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t͡s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d͡z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɖ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z,0.0,0.0,0.0,3.0,0.0,0.0,0.0
r,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ɻ,0.0,0.0,2.0,0.0,0.0,0.0,0.0
z,0.0,0.0,0.0,3.0,0.0,0.0,0.0
d͡z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʃ,0.0,0.0,0.0,1.0,1.0,0.0,0.0
x,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ɣ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɡ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ɳ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w,2.0,0.0,0.0,0.0,0.0,0.0,0.0
h,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
